Village,Latitude,Longitude
Bharni,22.822892,81.760585
Sendur Khar,22.820974,81.744215
Pamra,22.813801,81.771075
Umargohan,22.757987,81.751638
Lalpur,22.803223,81.73986
Barsot,22.797106,81.713517
Harra Tola,22.791938,81.721222
Podaki,22.786144,81.727874
Bhamariya,22.785999,81.746778
Bhundakona,22.779746,81.739415
Pharrisemar,22.766992,81.707049
Damgarh,22.727357,81.715725
Bijauri,22.798523,81.762986
Amarkantak,22.682014,81.754854
Sarastal Ryt,23.110314,81.094446
Pondi Ryt,23.102262,81.161725
Tikri Mya Pipri Ryt,23.085201,81.136492
Narayandih Mal,23.093824,81.15073
Akhdar Akhrad Mal,23.094406,81.188321
Tikra Bhanwarkhandi,23.092402,81.203459
Narayandih Ryt,23.08321,81.150375
Madhopur Ryt,23.080271,81.179663
Basi Deori Ryt,23.070944,81.160219
Nachunka Ryt,23.060311,81.220846
Basaniya Mal,23.061244,81.247358
Ludhra Ryt,23.038973,81.221851
Barwara Ryt,23.055108,81.181322
Baidra Ryt,23.037466,81.198473
Diyawar Mal,23.04481,81.169407
Kerha,23.135169,81.385897
Niwsa Mal,23.028705,81.165107
Mohgaon Ryt,23.020018,81.186485
Bamuri,23.135089,81.362256
Padariya Kalan Mal,22.999327,81.190405
Mehuti,24.731698,80.916616
Deori Khurd,24.724143,80.700213
Reserve Forest,22.685355,81.582837
Sudamapur,24.729713,80.958786
Samatpur,23.106674,81.412604
Mehuti,24.719201,80.92575
Bamura,23.115393,81.360432
Baun,23.115708,81.379052
Jawari,23.116366,81.475184
Kathai,23.086126,81.453952
Semara,23.111214,81.459197
Sanpuri Viran,23.113653,81.396246
Amha Tola,23.092518,81.376715
Kathautiya,23.083668,81.400154
Kodwar Kalan,23.082106,81.434074
Silpari,23.086595,81.478471
Kodwar Khurd,23.078798,81.41949
Tarera,23.121092,81.270194
Dongariya,23.113854,81.242407
Chatuwa,23.105053,81.276072
Khamraudh,23.082527,81.291202
Gora Tola,23.090474,81.321736
Tanki Tola,23.08803,81.262436
Sarai,23.07549,81.35207
Payari,23.071123,81.319639
Suadand,23.042299,81.249505
Tarang,23.048861,81.31524
Piparha,23.058962,81.479955
Gondi,23.057235,81.461451
Lamsarai,23.044875,81.412854
Ghatha,23.042766,81.366554
Alhawar,23.040846,81.384219
Katurdona,23.046221,81.286432
Bairagi,23.04258,81.346343
